Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Ugp2	-0.056576737	-0.819701524	-0.937559082	-0.529270887	-0.266250501	-0.185632957	-0.46928664	-0.150227413	-0.146839088	-0.053783972	-0.074136618
Serpina3i	0.062812398	1.466817024	0.452250021	0.422929048	0.254256196	0.094504974	0.193945653	0.23000931	0.150173616	0.136001335	0.013388976
F7	-0.016344281	-0.728102859	-1.116746883	-0.198899606	-0.129741417	-0.139997485	-0.005852529	0.016123069	0.221257006	0.174701258	-0.051016801
Pde4b	0.616032284	0.720489547	-0.358276485	0.196514215	-0.112111643	-0.071446785	-0.081466125	-0.097482029	0.351432049	0.417843518	0.513858136
Crem	0.341872755	1.039250124	0.531974377	0.30089807	0.716726721	-0.105092813	0.717242479	0.77107609	0.214523151	-0.024522159	0.107335621
Ehd3	0.140851372	-0.28872082	-0.534672699	-0.386011755	-0.160276261	-0.37588727	0.032563312	-0.057873858	-0.132057986	0.323850062	-0.046635437
Uggt1	0.127583429	-0.17488108	0.512276974	1.03839689	0.512652512	0.625467821	0.97433178	1.065692009	0.728171083	0.562206407	0.375599153
Rps26-ps1	-0.580246735	-0.194869136	-0.20219232	-0.118056752	-0.189131474	-0.119943463	-0.157532406	-0.297995966	-0.259627465	-1.100492429	-0.265180858
Gm13056	-0.083841676	-0.241287708	0.123422624	0.164572853	0.193651332	0.502875892	0.455222192	0.767921082	1.162283542	0.17760878	0.003716429
Zc3h7a	-0.154563407	0.776347476	0.686851453	0.381156492	0.349310815	0.515859042	0.962947185	1.051631531	0.87052282	0.401963946	0.205381955
